R,Ohm	C,pF	Temp,C
0000000000	0000100000	+118.07
Ch1,V	Ch2,V	Time,s
+00.0001	-00.0012	0000.000
-00.0002	-00.0009	0000.001
+00.0026	-00.0012	0000.002
+00.0053	-00.0012	0000.003
+00.0087	-00.0006	0000.004
+00.0117	-00.0009	0000.005
+00.0151	-00.0009	0000.006
+00.0172	-00.0012	0000.007
+00.0206	-00.0006	0000.008
+00.0239	-00.0009	0000.009
+00.0267	-00.0009	0000.010
+00.0297	-00.0006	0000.011
+00.0331	-00.0009	0000.012
+00.0355	-00.0009	0000.013
+00.0389	-00.0009	0000.014
+00.0416	-00.0009	0000.015
+00.0447	-00.0006	0000.016
+00.0474	-00.0006	0000.017
+00.0511	-00.0009	0000.018
+00.0535	-00.0009	0000.019
+00.0569	-00.0003	0000.020
+00.0596	-00.0009	0000.021
+00.0621	-00.0009	0000.022
+00.0657	-00.0003	0000.023
+00.0688	-00.0006	0000.024
+00.0712	-00.0009	0000.025
+00.0749	-00.0006	0000.026
+00.0779	-00.0006	0000.027
+00.0807	-00.0006	0000.028
+00.0837	-00.0009	0000.029
+00.0871	-00.0006	0000.030
+00.0898	-00.0006	0000.031
+00.0926	-00.0006	0000.032
+00.0959	-00.0003	0000.033
+00.0990	-00.0003	0000.034
+00.1017	-00.0006	0000.035
+00.1048	-00.0006	0000.036
+00.1078	-00.0003	0000.037
+00.1106	-00.0009	0000.038
+00.1139	-00.0003	0000.039
+00.1170	-00.0009	0000.040
+00.1197	-00.0003	0000.041
+00.1231	+00.0000	0000.042
+00.1258	-00.0003	0000.043
+00.1289	-00.0003	0000.044
+00.1319	-00.0003	0000.045
+00.1350	-00.0003	0000.046
+00.1384	+00.0000	0000.047
+00.1408	-00.0003	0000.048
+00.1435	+00.0000	0000.049
+00.1466	+00.0000	0000.050
+00.1500	-00.0006	0000.051
+00.1530	-00.0003	0000.052
+00.1558	+00.0000	0000.053
+00.1585	+00.0000	0000.054
+00.1616	-00.0003	0000.055
+00.1649	+00.0003	0000.056
+00.1683	+00.0000	0000.057
+00.1707	-00.0003	0000.058
+00.1741	+00.0000	0000.059
+00.1768	+00.0000	0000.060
+00.1802	+00.0000	0000.061
+00.1826	+00.0000	0000.062
+00.1860	+00.0003	0000.063
+00.1890	+00.0003	0000.064
+00.1921	+00.0003	0000.065
+00.1945	+00.0003	0000.066
+00.1979	+00.0000	0000.067
+00.2006	+00.0003	0000.068
+00.2040	+00.0006	0000.069
+00.2070	+00.0000	0000.070
+00.2098	+00.0000	0000.071
+00.2125	+00.0003	0000.072
+00.2153	+00.0003	0000.073
+00.2186	+00.0003	0000.074
+00.2223	+00.0000	0000.075
+00.2253	+00.0000	0000.076
+00.2278	+00.0000	0000.077
+00.2305	+00.0003	0000.078
+00.2336	+00.0000	0000.079
+00.2366	-00.0003	0000.080
+00.2400	+00.0006	0000.081
+00.2433	+00.0003	0000.082
+00.2461	+00.0010	0000.083
+00.2494	+00.0003	0000.084
+00.2516	+00.0003	0000.085
+00.2552	+00.0006	0000.086
+00.2580	+00.0000	0000.087
+00.2610	+00.0006	0000.088
+00.2638	+00.0006	0000.089
+00.2665	+00.0003	0000.090
+00.2699	+00.0006	0000.091
+00.2732	+00.0003	0000.092
+00.2763	+00.0006	0000.093
+00.2790	+00.0010	0000.094
+00.2824	+00.0010	0000.095
+00.2845	+00.0006	0000.096
+00.2879	+00.0006	0000.097
+00.2913	+00.0003	0000.098
+00.2946	+00.0013	0000.099
+00.2974	+00.0010	0000.100
+00.3001	+00.0006	0000.101
+00.3032	+00.0006	0000.102
+00.3059	+00.0006	0000.103
+00.3093	+00.0006	0000.104
