R,Ohm	C,pF	Temp,C
0000000000	0000100000	+125.84
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0009	0000.000
+00.0001	-00.0009	0000.001
-00.0026	-00.0009	0000.002
-00.0060	+00.0000	0000.003
-00.0093	-00.0015	0000.004
-00.0118	-00.0012	0000.005
-00.0151	-00.0009	0000.006
-00.0179	-00.0009	0000.007
-00.0212	-00.0009	0000.008
-00.0237	-00.0009	0000.009
-00.0267	-00.0012	0000.010
-00.0298	-00.0012	0000.011
-00.0328	-00.0006	0000.012
-00.0359	-00.0009	0000.013
-00.0386	-00.0009	0000.014
-00.0417	-00.0006	0000.015
-00.0454	-00.0009	0000.016
-00.0487	-00.0009	0000.017
-00.0509	-00.0009	0000.018
-00.0539	-00.0009	0000.019
-00.0566	-00.0009	0000.020
-00.0597	-00.0012	0000.021
-00.0631	-00.0015	0000.022
-00.0664	-00.0012	0000.023
-00.0692	-00.0015	0000.024
-00.0719	-00.0015	0000.025
-00.0750	-00.0015	0000.026
-00.0783	-00.0015	0000.027
-00.0814	-00.0015	0000.028
-00.0838	-00.0015	0000.029
-00.0872	-00.0015	0000.030
-00.0899	-00.0012	0000.031
-00.0933	-00.0012	0000.032
-00.0963	-00.0012	0000.033
-00.0991	-00.0012	0000.034
-00.1021	-00.0015	0000.035
-00.1055	-00.0012	0000.036
-00.1076	-00.0018	0000.037
-00.1113	-00.0015	0000.038
-00.1143	-00.0015	0000.039
-00.1171	-00.0015	0000.040
-00.1204	-00.0015	0000.041
-00.1235	-00.0015	0000.042
-00.1259	-00.0021	0000.043
-00.1290	-00.0018	0000.044
-00.1320	-00.0018	0000.045
-00.1351	-00.0021	0000.046
-00.1384	-00.0021	0000.047
-00.1415	-00.0018	0000.048
-00.1439	-00.0021	0000.049
-00.1476	-00.0018	0000.050
-00.1503	-00.0021	0000.051
-00.1528	-00.0021	0000.052
-00.1564	-00.0018	0000.053
-00.1586	-00.0021	0000.054
-00.1616	-00.0021	0000.055
-00.1650	-00.0021	0000.056
-00.1677	-00.0024	0000.057
-00.1714	-00.0024	0000.058
-00.1735	-00.0030	0000.059
-00.1772	-00.0021	0000.060
-00.1799	-00.0024	0000.061
-00.1830	-00.0027	0000.062
-00.1863	-00.0027	0000.063
-00.1894	-00.0024	0000.064
-00.1925	-00.0024	0000.065
-00.1946	-00.0027	0000.066
-00.1979	-00.0027	0000.067
-00.2013	-00.0027	0000.068
-00.2037	-00.0030	0000.069
-00.2068	-00.0030	0000.070
-00.2098	-00.0024	0000.071
-00.2132	-00.0030	0000.072
-00.2163	-00.0030	0000.073
-00.2193	-00.0033	0000.074
-00.2224	-00.0027	0000.075
-00.2257	-00.0030	0000.076
-00.2285	-00.0036	0000.077
-00.2315	-00.0036	0000.078
-00.2337	-00.0036	0000.079
-00.2370	-00.0027	0000.080
-00.2407	-00.0036	0000.081
-00.2431	-00.0042	0000.082
-00.2465	-00.0039	0000.083
-00.2489	-00.0039	0000.084
-00.2523	-00.0039	0000.085
-00.2553	-00.0039	0000.086
-00.2584	-00.0042	0000.087
-00.2614	-00.0039	0000.088
-00.2642	-00.0039	0000.089
-00.2672	-00.0039	0000.090
-00.2706	-00.0042	0000.091
-00.2733	-00.0045	0000.092
-00.2761	-00.0042	0000.093
-00.2797	-00.0048	0000.094
-00.2822	-00.0048	0000.095
-00.2852	-00.0052	0000.096
-00.2883	-00.0052	0000.097
-00.2916	-00.0048	0000.098
-00.2944	-00.0058	0000.099
-00.2974	-00.0048	0000.100
-00.3005	-00.0052	0000.101
-00.3035	-00.0048	0000.102
-00.3069	-00.0055	0000.103
-00.3093	-00.0052	0000.104
-00.3127	-00.0055	0000.105
-00.3151	-00.0058	0000.106
-00.3185	-00.0058	0000.107
-00.3212	-00.0058	0000.108
-00.3243	-00.0055	0000.109
-00.3273	-00.0064	0000.110
-00.3310	-00.0064	0000.111
-00.3337	-00.0064	0000.112
-00.3362	-00.0067	0000.113
-00.3389	-00.0067	0000.114
-00.3423	-00.0064	0000.115
-00.3453	-00.0067	0000.116
-00.3481	-00.0073	0000.117
-00.3514	-00.0070	0000.118
-00.3542	-00.0067	0000.119
-00.3576	-00.0073	0000.120
-00.3606	-00.0073	0000.121
-00.3630	-00.0076	0000.122
-00.3667	-00.0076	0000.123
-00.3688	-00.0076	0000.124
-00.3728	-00.0079	0000.125
-00.3749	-00.0082	0000.126
-00.3786	-00.0082	0000.127
-00.3814	-00.0085	0000.128
-00.3844	-00.0085	0000.129
-00.3875	-00.0082	0000.130
-00.3905	-00.0088	0000.131
-00.3933	-00.0085	0000.132
-00.3963	-00.0088	0000.133
-00.3991	-00.0091	0000.134
-00.4027	-00.0091	0000.135
-00.4058	-00.0097	0000.136
-00.4085	-00.0094	0000.137
-00.4113	-00.0097	0000.138
-00.4143	-00.0100	0000.139
-00.4177	-00.0100	0000.140
-00.4207	-00.0100	0000.141
-00.4235	-00.0106	0000.142
-00.4259	-00.0109	0000.143
-00.4296	-00.0109	0000.144
-00.4326	-00.0113	0000.145
-00.4354	-00.0116	0000.146
-00.4384	-00.0113	0000.147
-00.4415	-00.0119	0000.148
-00.4442	-00.0119	0000.149
-00.4476	-00.0119	0000.150
-00.4506	-00.0128	0000.151
-00.4537	-00.0134	0000.152
-00.4567	-00.0131	0000.153
-00.4595	-00.0137	0000.154
-00.4625	-00.0140	0000.155
-00.4656	-00.0143	0000.156
-00.4686	-00.0149	0000.157
-00.4717	-00.0149	0000.158
-00.4747	-00.0158	0000.159
-00.4775	-00.0161	0000.160
-00.4802	-00.0171	0000.161
-00.4836	-00.0177	0000.162
-00.4863	-00.0180	0000.163
-00.4894	-00.0186	0000.164
-00.4927	-00.0189	0000.165
-00.4955	-00.0207	0000.166
-00.4985	-00.0213	0000.167
-00.5016	-00.0229	0000.168
-00.5043	-00.0241	0000.169
-00.5077	-00.0262	0000.170
-00.5108	-00.0296	0000.171
-00.5135	-00.0354	0000.172
-00.5162	-00.0424	0000.173
-00.5193	-00.0488	0000.174
-00.5227	-00.0555	0000.175
-00.5251	-00.0644	0000.176
-00.5288	-00.1077	0000.177
-00.5315	-00.1498	0000.178
-00.5346	-00.1873	0000.179
-00.5376	-00.2615	0000.180
-00.5404	-00.3064	0000.181
-00.5437	-00.3610	0000.182
-00.5465	-00.3994	0000.183
-00.5498	-00.4190	0000.184
-00.5526	-00.4718	0000.185
-00.5559	-00.4992	0000.186
-00.5584	-00.5569	0000.187
-00.5617	-00.5938	0000.188
-00.5645	-00.6051	0000.189
-00.5675	-00.6131	0000.190
-00.5712	-00.6195	0000.191
-00.5736	-00.6558	0000.192
-00.5770	-00.6903	0000.193
-00.5797	-00.6988	0000.194
-00.5828	-00.7049	0000.195
-00.5858	-00.7092	0000.196
-00.5883	-00.7125	0000.197
-00.5913	-00.7156	0000.198
-00.5953	-00.7180	0000.199
-00.5977	-00.7202	0000.200
-00.6008	-00.7223	0000.201
-00.6038	-00.7232	0000.202
-00.6069	-00.7251	0000.203
-00.6099	-00.7263	0000.204
-00.6130	-00.7278	0000.205
-00.6157	-00.7284	0000.206
-00.6185	-00.7296	0000.207
-00.6212	-00.7312	0000.208
-00.6246	-00.7318	0000.209
-00.6276	-00.7324	0000.210
-00.6310	-00.7333	0000.211
-00.6340	-00.7339	0000.212
-00.6365	-00.7348	0000.213
-00.6395	-00.7357	0000.214
-00.6426	-00.7360	0000.215
-00.6462	-00.7367	0000.216
-00.6487	-00.7373	0000.217
-00.6520	-00.7382	0000.218
-00.6545	-00.7382	0000.219
-00.6578	-00.7391	0000.220
-00.6609	-00.7394	0000.221
-00.6636	-00.7403	0000.222
-00.6670	-00.7406	0000.223
-00.6694	-00.7412	0000.224
-00.6731	-00.7415	0000.225
-00.6759	-00.7418	0000.226
-00.6786	-00.7425	0000.227
-00.6820	-00.7428	0000.228
-00.6847	-00.7431	0000.229
-00.6881	-00.7434	0000.230
-00.6908	-00.7431	0000.231
-00.6939	-00.7440	0000.232
-00.6966	-00.7449	0000.233
-00.7000	-00.7449	0000.234
-00.7024	-00.7452	0000.235
-00.7064	-00.7455	0000.236
-00.7085	-00.7458	0000.237
-00.7116	-00.7461	0000.238
-00.7149	-00.7461	0000.239
-00.7180	-00.7470	0000.240
-00.7213	-00.7473	0000.241
-00.7244	-00.7479	0000.242
-00.7268	-00.7479	0000.243
-00.7299	-00.7486	0000.244
-00.7329	-00.7486	0000.245
-00.7360	-00.7483	0000.246
-00.7390	-00.7492	0000.247
-00.7421	-00.7495	0000.248
-00.7448	-00.7498	0000.249
-00.7479	-00.7501	0000.250
-00.7509	-00.7504	0000.251
-00.7540	-00.7501	0000.252
-00.7573	-00.7504	0000.253
-00.7598	-00.7510	0000.254
-00.7628	-00.7504	0000.255
-00.7656	-00.7513	0000.256
-00.7692	-00.7519	0000.257
-00.7720	-00.7513	0000.258
-00.7747	-00.7522	0000.259
-00.7781	-00.7522	0000.260
-00.7811	-00.7522	0000.261
-00.7839	-00.7522	0000.262
-00.7869	-00.7522	0000.263
-00.7900	-00.7528	0000.264
-00.7933	-00.7528	0000.265
-00.7958	-00.7528	0000.266
-00.7988	-00.7528	0000.267
-00.8016	-00.7534	0000.268
-00.8046	-00.7534	0000.269
-00.8077	-00.7534	0000.270
-00.8110	-00.7541	0000.271
-00.8144	-00.7541	0000.272
-00.8171	-00.7541	0000.273
-00.8202	-00.7541	0000.274
-00.8226	-00.7547	0000.275
-00.8260	-00.7547	0000.276
-00.8284	-00.7550	0000.277
-00.8321	-00.7550	0000.278
-00.8352	-00.7556	0000.279
-00.8379	-00.7553	0000.280
-00.8406	-00.7553	0000.281
-00.8437	-00.7553	0000.282
-00.8474	-00.7556	0000.283
-00.8498	-00.7559	0000.284
-00.8525	-00.7559	0000.285
-00.8562	-00.7565	0000.286
-00.8596	-00.7562	0000.287
-00.8620	-00.7568	0000.288
-00.8651	-00.7568	0000.289
-00.8675	-00.7571	0000.290
-00.8712	-00.7571	0000.291
-00.8739	-00.7571	0000.292
-00.8770	-00.7568	0000.293
-00.8803	-00.7574	0000.294
-00.8828	-00.7571	0000.295
-00.8861	-00.7577	0000.296
-00.8886	-00.7577	0000.297
-00.8919	-00.7580	0000.298
-00.8953	-00.7577	0000.299
-00.8983	-00.7580	0000.300
-00.9014	-00.7580	0000.301
-00.9041	-00.7583	0000.302
